author,year,doi,incl_author,incl_year,country,continent,region,diabetes,criteria,instrument,n_total,n_diabet,n_control,prev_diabet,prev_control,quality
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.021,Balhara and Sagar,2011,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-brief,77,77,,0.169,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.022,Weaver and Hadley,2011,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HSCL-25,33,33,,0.242,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.023,Guruprasad,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI-II,210,210,,0.25,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.024,Zahid,2008,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Assisted by Clinician,MADRS,75,75,,0.147,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.025,Khuwaja,2010,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,HADS,889,889,,0.435,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.026,Perveen,2010,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,SSDS,296,296,,0.595,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.027,Chazova,2007,Russian Federation,Europe,European Region,T2DM,Not Assisted by Clinician,BDI-II,140,140,,0.486,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.028,Sapozhnikova,2010,Russian Federation,Europe,European Region,T2DM,Not Assisted by Clinician,CES-D,200,200,,0.435,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.029,Servincok,2001,Turkey,Asia,European Region,T2DM,Not Assisted by Clinician,BDI-II,98,98,,0.418,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.030,Moreira,2009,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI-II,65,65,,0.215,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.031,Papelbaum,2011,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI-II,70,70,,0.186,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.032,Blay,2011,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,Short SPES,790,790,,0.319,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.033,De Ornelas Maia,2012,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,MINI,100,100,,0.02,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.034,Garduno-Espinosa,1998,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI-II,79,79,,0.46,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.035,Tellez-Zenteno and Cardiel,2002,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI-II,189,189,,0.34,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.036,Lerman,2004,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,Unstandardized questionnaire,176,176,,0.5,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.037,Garcia,2006,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSDS,796,796,,0.412,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.038,Colunga-Rodriguez,2008,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSDS,450,450,,0.63,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.039,Mier,2008,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,200,200,,0.405,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.040,Castro-Ake,2009,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,MINI,186,186,,0.274,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.041,Tovilla-Zarate,2012,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,HDRS,820,820,,0.483,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.042,Shehatah,2010,Egypt,Africa,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI-II,458,458,,0.321,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.043,Khamseh,2007,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI-II,140,140,,0.7,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.044,Nikibakht,2009,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI-II,100,100,,0.5,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.045,Yekta,2010,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI-II,295,295,,0.434,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.046,Khamseh,2011,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,PHQ-9,185,185,,0.476,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.047,Khamseh,2011,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,CES-D,185,185,,0.616,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.048,Saeed,2003,Iraq,Asia,Eastern Mediterranean Region,T2DM,Assisted by Clinician,DSM-IV,110,110,,0.4,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.049,Al-Ameer,2011,Jordan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,PHQ-8,581,581,,0.201,,Medium
"Mendenhall, E. and Norris, S. A. and Shidhaye, R. and Prabhakaran, D.",2014,10.1016/j.jpsychores.2014.02.050,Al-Maskari,2010,Oman,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,HADS,30,30,,0.2,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Ahlgren et al,2004,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,SF-12,239,239,,0.16,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Bell et al,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,696,696,,0.16,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Castillo et al,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,70,70,,0.471,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Fisher et al,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-8,463,463,,0.153,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Fisher et al,2003,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,SGD,125,125,,0.184,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Gary et al,2000,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,183,183,,0.45,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Glimer et al,2008,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,99,99,,0.33,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Guiglino et al,2010,Italy,Europe,European Region,T2DM,Not Assisted by Clinician,Not Assisted by Clinician use of antidepression and/or counselling,595,595,,0.315,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Gonzales et al,2008,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,HANDS,208,208,,0.18,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Gonzales et al,2007,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,HANDS,879,879,,0.19,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Katon et al,2010,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,214,214,,0.74,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Moreau et al,2009,France,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,521,521,,0.1,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Parekh(dissertation),2001,Not Reported,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,BDI,759,759,,0.142,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Park et al,2004,Republic of Korea,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CES-D,168,168,,0.045,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Sacco et al,2007,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,99,99,,0.18,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Sacco et al,2005,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,56,56,,0.16,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Tovar  (dissertation),2007,Not Reported,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,CES-D,212,212,,0.38,,Medium
"Sumlin, L. L. and Garcia, T. J. and Brown, S. A. and Winter, M. A. and García, A. A. and Brown, A. and Cuevas, H. E.",2014,10.1177/0145721714538925,Zuberi et al,2011,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,HADS,286,286,,0.5,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.16,Larijani,2001,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,375,375,,0.419,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.17,Mahmoodi,2006,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,227,227,,0.77,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.18,Sepehr Manesh,2002,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T1DM & T2DM,Not Assisted by Clinician,BDI,300,300,,0.53,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.19,Ranjbar,2002,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T1DM & T2DM,Not Assisted by Clinician,BDI,100,100,,0.714,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.20,Norouzi Nejad,2003,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T1DM & T2DM,Not Assisted by Clinician,BDI,309,309,,0.722,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.21,Zahir Al-Din,2002,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,100,100,,0.78,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.22,Safa Nejati,2005,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,HADS,100,100,,0.66,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.23,Atapour,2011,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,250,250,,0.85,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.24,Atadokht,2011,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,SCL-90,120,120,,0.725,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.25,Nikbakht,2009,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,100,100,,0.5,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.26,Tajfard,2011,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,200,200,,0.79,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.27,Momeni,1996,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,94,94,,0.5,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.28,Vafadari,2000,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,700,700,,0.68,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.29,Arefian,1996,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,300,300,,0.57,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.30,Yekta,2006,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,295,295,,0.43,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.31,Paviz,2000,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,150,150,,0.62,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.32,Hamzehi,1998,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,80,80,,0.912,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.33,Peyvandi,2007,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,150,150,,0.82,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.34,Shah Nazarpour,1992,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,1200,1200,,0.531,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.35,Salehi,2006,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,HDRS,134,134,,0.11,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.36,Nourozi,2008,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,HOQOL-26,30,30,,0.12,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.37,Bogar,2010,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,PHQ-9,254,254,,0.25,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.38,Taziki,2000,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,50,50,,0.34,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.39,Sajadi,2007,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,GHQ-28,80,80,,0.437,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.40,Behrooz,2012,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,SCL-90,210,210,,0.56,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.41,Harouni,2012,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,403,403,,0.6,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.42,Mazlomi,2008,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,100,100,,0.64,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.43,Parham,2012,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,116,116,,0.707,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.44,Palezgir,2012,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,184,184,,0.71,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.45,Behnam,2002,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,450,450,,0.716,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.46,Kasiri Dolat Abadi,2007,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,383,383,,0.72,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.47,Mosavi,2006,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,100,100,,0.78,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.48,Abdollahian,1998,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,SCL-90,100,100,,0.87,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.49,Baradarn,2009,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,PHQ-9,185,185,,0.746,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.50,Shahrakiavand,2010,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,100,100,,0.81,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.51,Shamsaei,2005,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,384,384,,0.734,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.52,Kalantari,2011,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,90,90,,0.378,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.53,Taheri,2014,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,102,102,,0.853,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.54,Kiani,2015,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,350,350,,0.188,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.55,Derakhshan,2012,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,330,330,,0.582,,Medium
"Azami, M. and Moslemirad, M. and Mansouri, A. and Khataee, M. and Sayehmiri, K.",2017,10.22088/jbums.19.4.56,Khamosh,2014,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,,Not Assisted by Clinician,BDI,206,206,,0.718,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Ali et al,2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI-II,221,122,99,0.2705,0.1111,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Das et al,2010,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HRSD,195,195,,0.4615,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Dhavale et al,2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MADRS,100,100,,0.39,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Iype et al,2009,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,71,71,,0.7042,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Nath et al,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,ICD-10,100,50,50,0.32,not reported,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Kulkarni et al,2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,282,282,,0.291,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Mathew et al,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MDI,80,80,,0.388,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Mendenhall et al,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,HSCL-25,59,59,,0.41,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Mushtaque et al,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,DSM V,80,80,,0.3875,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Rajender et al,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,MADRS,312,312,,0.3205,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Satish et al,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,91,91,,0.3,,Medium
"Naskar, S. and Victor, R. and Nath, K.",2017,10.18632/oncotarget.15051,Singla et al,2003,India,Asia,South-East Asian Region,T2DM,Assisted by Clinician,MINI neuropsychiatric scale,91,91,,0.08,,Medium
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135460,Ali et al.,2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,122,122,,0.2705,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135461,Aminu et al.,2017,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,200,200,,0.375,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135462,Avasthi et al.,2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,280,280,,0.354,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135463,Bajaj et al.,2012,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,60,60,,0.4334,,High
"Hussain, S. and Habib, A. and Singh, A. and Akhtar, M. and Najmi, A. K.",2018,10.1155/2018/6135464,Bahtey et al.,2017,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,100,100,,0.63,,High
